sample.id,month,date,year,location,inshore.offshore,replicate,taxon.code,species.name.field,species.name.revised,group,8,5.6,4,2.8,2,1.4,1,0.71,0.5,notes,
1,11,19,2001,Goodwin's,Offshore,A1,6,Nereis sp,Nereis sp.,Polychaete,0,0,0,1,1,1,0,0,0,,
1,11,19,2001,Goodwin's,Offshore,A1,200,Ampithoe longimana,Ampithoe longimana,Crustacean,0,0,0,0,2,6,5,2,1,,
1,11,19,2001,Goodwin's,Offshore,A1,202,Erichsonella attenuata,Erichsonella attenuata,Crustacean,0,0,0,2,1,1,0,0,0,,
1,11,19,2001,Goodwin's,Offshore,A1,204,Idotea balthica,Idotea balthica,Crustacean,0,0,0,0,0,3,2,1,0,,
1,11,19,2001,Goodwin's,Offshore,A1,207,Ampelisca,Ampelisca sp.,Crustacean,0,0,0,0,4,0,1,1,0,,
1,11,19,2001,Goodwin's,Offshore,A1,208,Caprella penantis,Caprella penantis,Caprellid,0,7,4,16,47,57,61,46,12,,
1,11,19,2001,Goodwin's,Offshore,A1,209,Edotea triloba,Edotia triloba,Crustacean,0,0,0,0,2,2,11,3,0,,
1,11,19,2001,Goodwin's,Offshore,A1,210,Elasmopus levis,Elasmopus levis,Crustacean,0,0,0,0,0,12,9,10,0,,
1,11,19,2001,Goodwin's,Offshore,A1,212,Caprella equilibria,Caprella equilibra,Caprellid,0,1,0,0,4,16,22,28,10,,
1,11,19,2001,Goodwin's,Offshore,A1,213,Paracaprella tenuis,Paracaprella tenuis,Caprellid,0,0,0,0,2,5,9,25,14,,
1,11,19,2001,Goodwin's,Offshore,A1,509,Tanaid,Tanaid sp.,Crustacean,0,0,0,0,0,0,0,1,0,,
1,11,19,2001,Goodwin's,Offshore,A2,53,Bittium,Bittiolum varium,Mollusc,0,0,0,0,0,1,17,7,0,,
1,11,19,2001,Goodwin's,Offshore,A2,54,Odostomia bisuturalis,Boonea bisuturalis,Mollusc,0,0,0,0,1,0,2,0,0,,
1,11,19,2001,Goodwin's,Offshore,A2,200,Ampithoe longimana,Ampithoe longimana,Crustacean,0,0,0,0,3,16,12,8,0,,
1,11,19,2001,Goodwin's,Offshore,A2,202,Erichsonella attenuata,Erichsonella attenuata,Crustacean,0,11,4,2,5,1,1,1,0,,
1,11,19,2001,Goodwin's,Offshore,A2,204,Idotea balthica,Idotea balthica,Crustacean,0,0,1,0,0,1,0,0,0,,
